description,grams
"Ocean perch, coated, baked or broiled, fat added",0.2899257892844176
"Ocean perch, coated, baked or broiled, no added fat",0.6478914225100496
"Ocean perch, coated, fried",0.12340195321574043
"Ocean perch, steamed or poached",0.5048378221600203
"Perch, baked or broiled, made with cooking spray",0.648109038126421
"Perch, coated, baked or broiled, made with oil",0.29537147083953386
"Perch, coated, baked or broiled, made with butter",0.5402628035417578
"Perch, coated, baked or broiled, made with margarine",0.3359973782915304
"Perch, coated, baked or broiled, no added fat",0.1239082708719863
"Perch, coated, baked or broiled, made with cooking spray",0.42299381302512984
"Perch, coated, fried, made with margarine",0.40907016899502935
"Perch, coated, fried, no added fat",0.22390345325877803
"Perch, steamed or poached",0.29589707633874696
"Pike, cooked, NS as to cooking method",0.1437676375902086
"Pike, coated, baked or broiled, fat added",1.1788071388281196
"Pike, coated, baked or broiled, no added fat",0.714386208132467
"Pompano, coated, baked or broiled, fat added",0.10948514487587602
"Pompano, coated, fried",0.2731019249859301
"Pompano, smoked",0.1460218531516233
"Porgy, raw",0.3127895211667564
"Porgy, coated, baked or broiled, fat added",0.10950767776058967
"Porgy, coated, baked or broiled, no added fat",0.533747507794935
"Porgy, steamed or poached",0.13395393018189594
"Salmon, raw",0.38611655344951146
"Salmon, baked or broiled, made with cooking spray",0.5684449240451528
"Salmon, coated, baked or broiled, made with oil",0.14148127077202588
"Salmon, coated, baked or broiled, made with butter",0.4858087154662627
"Salmon, coated, baked or broiled, made with margarine",0.14390591397379637
"Salmon, coated, baked or broiled, made with cooking spray",0.6520637379408001
"Salmon, coated, fried, made with oil",0.24550572319324004
"Salmon, coated, fried, made with butter",0.14716846626772195
"Sardines, dried",0.3304898865064132
"Sardines, skinless, boneless, packed in water",0.1519532617454189
"Sea bass, coated, baked or broiled, no added fat",0.28400087055615586
"Sea bass, pickled",0.11978296470385175
"Sturgeon, steamed",0.3141734548554709
"Sturgeon, coated, fried",0.5508712947136729
"Swordfish, coated, baked or broiled, no added fat",0.5673908113998039
"Trout, baked or broiled, made with butter",0.2301455155500065
"Trout, baked or broiled, made with margarine",0.28433903849922615
"Trout, coated, baked or broiled, made with oil",0.22058231398826444
"Trout, coated, baked or broiled, made with butter",1.161004299456492
"Trout, coated, baked or broiled, made with margarine",0.10689712807483431
"Trout, coated, fried, made with margarine",0.9853556572201327
"Trout, coated, fried, no added fat",0.6475270828650181
"Trout, coated, fried, made with cooking spray",0.32647504188911824
"Trout, smoked",0.570942019616183
"Tuna, fresh, raw",0.7170457655282902
"Tuna, fresh, baked or broiled, no added fat",0.3048934419684457
"Tuna, fresh, coated, baked or broiled, fat added",0.13823713333969354
"Tuna, fresh, coated, baked or broiled, no added fat",0.3626780690552778
"Tuna, fresh, coated, fried",0.11385955406595372
"Tuna, fresh, dried",0.7568307636832472
"Whiting, baked or broiled, made with margarine",0.2667140839328397
"Whiting, baked or broiled, made with cooking spray",0.35640884036496345
"Whiting, coated, baked or broiled, made with margarine",0.20387232859260251
"Whiting, coated, baked or broiled, no added fat",0.1404827446815915
"Whiting, coated, fried, no added fat",0.42171129999974966
"Whiting, coated, fried, made with cooking spray",0.7537536806340839
"Whiting, steamed or poached",0.5602848112266301
"Tilapia, coated, baked or broiled, made with oil",0.24929080004714166
"Tilapia, coated, baked or broiled, made with margarine",0.5564731720683724
"Tilapia, coated, baked or broiled, no added fat",0.29868576665830204
"Tilapia, coated, fried, made with oil",0.292047664516204
"Tilapia, coated, fried, made with margarine",0.22626949715665035
"Tilapia, coated, fried, made with cooking spray",0.47575977164040495
"Roe, shad, cooked",0.2486278401914177
"Roe, herring",0.3280708527273383
"Roe, sturgeon",0.4327424063232499
"Veal, ground or patty, cooked",0.23663566505369715
"Lamb, roast, cooked, lean only eaten",0.1602381247611362
"Goat head, cooked",0.6109892564802877
"Venison/deer steak, breaded or floured, cooked, NS as to cooking method",0.45407986900567465
"Moose, cooked",0.5995722946604332
"Bear, cooked",0.24960183436526506
"Caribou, cooked",0.15117278993503902
"Opossum, cooked",0.21866399502939293
"Squirrel, cooked",0.3703567599036006
"Beaver, cooked",0.24960518392695974
"Armadillo, cooked",0.17869522052489373
"Wild pig, smoked",0.13221179441984532
"Romaine lettuce, raw",77.49055418330819
"Radicchio, raw",11.414067397707583
"Lettuce, Boston, raw",0.6364158148528531
"Beef liver, fried",0.26514015419998316
"Chicken liver, braised",0.31700943062293874
"Chicken liver, fried",0.19364449503278536
"Liver paste or pate, chicken",0.1085656113611222
"Sweetbreads, cooked",0.13423785178190428
"Gizzard, cooked",1.2576774149293257
"Butter replacement, powder",0.5223470893122695
"Shortening, NS as to vegetable or animal",0.4436072103290556
"Almonds, NFS",0.13724807797448335
"Almonds, unroasted",0.12853092005009614
"Almonds, salted",0.2925503575770705
"Almonds, lightly salted",0.36627717608137544
"Almonds, flavored",0.10852163694110573
"Cashews, salted",0.10528522528745815
"Cashews, lightly salted",0.13673725077705257
"Cashews, unsalted",0.17660789898670307
Hazelnuts,0.16113085640183586
"Mixed nuts, with peanuts, unsalted",0.20634221564694855
"Mixed nuts, without peanuts, unsalted",0.12484622764841688
"Peanuts, boiled",0.3868853802270422
"Peanuts, honey roasted",1.8638834804347582
"Pecans, salted",0.1112718586718131
"Pecans, unsalted",0.3228434108208944
"Pecans, honey roasted",0.38472180800805944
Pine nuts,0.17542293283678845
"Pistachio nuts, NFS",0.6250366277511077
"Pistachio nuts, unsalted",0.2205818956691634
Peanut butter,0.5592002621307657
"Peanut butter, lower sugar",0.32803484827841345
